Distance_(pixels),Gray_Value
454,157.3333
455,158.6667
456,159.3333
457,158.6667
458,158.6667
459,159.3333
460,158.3333
461,159.3333
462,164.3333
463,157.3333
464,156.3333
465,159.3333
466,155.3333
467,155.6667
468,152.6667
469,156.3333
470,156.3333
471,159.3333
472,161.0000
473,158.3333
474,153.6667
475,155.6667
476,157.6667
477,157.3333
478,157.3333
479,157.0000
480,155.0000
481,156.6667
482,162.6667
483,156.3333
484,158.3333
485,158.3333
486,156.3333
487,161.3333
488,161.3333
489,158.3333
490,155.3333
491,156.3333
492,156.3333
493,157.3333
494,160.3333
495,160.6667
496,159.0000
497,155.6667
498,159.6667
499,162.0000
500,162.0000
501,162.6667
502,160.6667
503,160.3333
504,156.3333
505,155.6667
506,157.6667
507,157.0000
508,157.0000
509,157.6667
510,157.6667
511,156.3333
512,158.3333
513,156.6667
514,153.6667
515,155.3333
516,157.3333
517,157.0000
518,154.0000
519,158.0000
520,163.0000
521,154.0000
522,148.0000
523,161.3333
524,164.3333
525,157.3333
526,164.3333
527,158.3333
528,155.3333
529,154.6667
530,157.6667
531,158.3333
532,157.3333
533,160.3333
534,162.3333
535,158.3333
536,159.0000
537,160.0000
538,164.0000
539,160.3333
540,157.3333
541,161.0000
542,159.0000
543,164.0000
544,157.0000
545,156.3333
546,157.3333
547,160.6667
548,164.6667
549,163.3333
550,161.0000
551,160.3333
552,159.6667
553,160.6667
554,159.6667
555,162.3333
556,165.3333
557,165.0000
558,167.0000
559,165.0000
560,165.0000
561,164.6667
562,165.3333
563,167.3333
564,169.3333
565,170.0000
566,171.3333
567,169.0000
568,173.3333
569,176.6667
570,177.6667
571,178.6667
572,179.6667
573,182.6667
574,187.3333
575,188.0000
576,189.0000
577,190.6667
578,192.0000
579,191.6667
580,193.6667
581,195.6667
582,197.6667
583,194.6667
584,194.6667
585,193.6667
586,194.6667
587,198.0000
588,200.0000
589,198.0000
590,194.0000
591,200.0000
592,201.0000
593,198.0000
594,195.0000
595,197.0000
596,199.0000
597,202.0000
598,204.0000
599,201.0000
600,201.0000
601,197.3333
602,203.3333
603,200.6667
604,205.6667
605,200.6667
606,201.6667
607,199.6667
608,200.6667
609,201.0000
610,203.0000
611,200.0000
612,199.0000
613,204.0000
614,202.0000
615,202.0000
616,204.0000
617,203.0000
618,205.6667
619,201.6667
620,202.6667
621,202.0000
622,206.0000
623,202.0000
624,201.6667
625,201.6667
626,200.0000
627,201.0000
628,202.0000
629,201.3333
630,200.0000
631,202.6667
632,203.0000
633,204.6667
634,207.3333
635,207.0000
636,204.3333
637,202.0000
638,203.0000
639,199.6667
640,204.6667
641,205.0000
642,206.3333
643,207.3333
644,205.3333
645,204.6667
646,204.6667
647,204.3333
648,206.0000
649,203.3333
650,203.3333
651,206.3333
652,209.3333
653,205.6667
654,200.6667
655,206.6667
656,207.6667
657,203.6667
658,203.6667
659,204.6667
660,203.6667
661,204.6667
662,203.6667
663,202.3333
664,205.3333
665,201.6667
666,201.6667
667,202.6667
668,208.6667
669,205.6667
670,202.6667
671,200.6667
672,200.6667
673,200.6667
674,201.6667
675,203.6667
676,205.6667
677,206.0000
678,204.6667
679,202.6667
680,203.6667
681,205.6667
682,206.6667
683,204.6667
684,205.6667
685,206.3333
686,206.3333
687,205.6667
688,202.6667
689,201.6667
690,204.6667
691,208.0000
692,208.0000
693,207.3333
694,207.0000
695,205.0000
696,205.6667
697,203.6667
698,201.6667
699,202.6667
700,204.6667
701,205.3333
702,205.3333
703,205.3333
704,206.3333
705,209.6667
706,210.3333
707,207.0000
708,206.0000
709,210.3333
710,211.0000
711,206.6667
712,205.0000
713,208.0000
714,208.6667
715,208.0000
716,206.0000
717,205.3333
718,211.0000
719,210.6667
720,209.6667
721,207.0000
722,206.3333
723,205.0000
724,210.0000
725,205.6667
726,205.6667
727,202.0000
728,203.6667
729,203.0000
730,204.0000
731,207.0000
732,208.0000
733,206.0000
734,203.0000
735,204.0000
736,211.0000
737,205.6667
738,203.6667
739,204.6667
740,208.6667
741,204.6667
742,207.6667
743,208.6667
744,204.6667
745,202.3333
746,209.0000
747,209.3333
748,211.6667
749,206.0000
750,201.0000
751,209.3333
752,210.0000
753,210.3333
754,210.0000
755,207.0000
756,204.6667
757,206.0000
758,208.6667
759,207.6667
760,208.6667
761,208.6667
762,209.6667
763,208.0000
764,208.0000
765,205.0000
766,204.0000
767,205.0000
768,207.0000
769,205.0000
770,205.0000
771,206.0000
772,206.6667
773,206.6667
774,203.6667
775,205.0000
776,204.0000
777,203.0000
778,203.0000
779,201.6667
780,201.6667
781,201.6667
782,201.6667
783,201.6667
784,202.6667
785,204.6667
786,207.6667
787,202.6667
788,205.6667
789,206.3333
790,207.6667
791,205.6667
792,206.0000
793,205.6667
794,204.6667
795,204.3333
796,205.3333
797,207.3333
798,209.3333
799,201.6667
800,204.6667
801,205.0000
802,208.0000
803,204.6667
804,205.6667
805,204.6667
806,206.6667
807,206.3333
808,206.3333
809,207.0000
810,209.0000
811,209.3333
812,208.0000
813,205.0000
814,202.6667
815,203.0000
816,203.6667
817,203.6667
818,207.0000
819,205.3333
820,207.3333
821,207.0000
822,209.0000
823,209.0000
824,208.0000
825,203.6667
826,204.6667
827,205.0000
828,210.0000
829,206.3333
830,202.3333
831,205.3333
832,209.6667
833,208.0000
834,203.6667
835,206.0000
836,209.0000
837,207.6667
838,206.0000
839,206.0000
840,207.3333
841,206.0000
842,208.3333
843,205.0000
844,205.3333
845,202.6667
846,203.6667
847,205.6667
848,206.6667
849,206.3333
850,205.3333
851,206.3333
852,207.0000
853,207.0000
854,204.6667
855,204.0000
856,204.0000
857,203.6667
858,202.6667
859,201.6667
860,201.0000
861,203.6667
862,208.0000
863,209.3333
864,211.3333
865,209.3333
866,207.0000
867,204.6667
868,203.6667
869,204.0000
870,206.6667
871,204.0000
872,205.0000
873,206.0000
874,205.0000
875,206.0000
876,207.0000
877,206.6667
878,203.6667
879,204.6667
880,205.6667
881,203.6667
882,202.6667
883,201.6667
884,205.6667
885,204.6667
886,209.0000
887,208.0000
888,201.0000
889,204.0000
890,207.0000
891,201.0000
892,204.0000
893,209.3333
894,203.3333
895,207.3333
