Distance_(unit),Gray_Value
155.917,161.4302
156.359,159.4880
156.801,157.6222
157.242,158.0361
157.684,155.7538
158.126,158.6673
158.567,162.5781
159.009,158.6933
159.451,158.3333
159.892,161.0169
160.334,155.9956
160.776,154.5911
161.218,161.3333
161.659,161.4907
162.101,160.2359
162.543,159.0655
162.984,155.9813
163.426,153.7467
163.868,156.4320
164.309,161.0187
164.751,159.1372
165.193,158.7976
165.634,157.4444
166.076,160.8430
166.518,160.5493
166.960,159.1573
167.401,159.0987
167.843,161.7985
168.285,162.3991
168.726,158.5476
169.168,158.1564
169.610,158.1760
170.051,159.3719
170.493,160.0536
170.935,160.7653
171.376,161.9585
171.818,157.2142
172.260,154.9245
172.701,158.2972
173.143,158.2255
173.585,158.2471
174.027,160.2350
174.468,160.2074
174.910,160.5653
175.352,159.5271
175.793,161.7991
176.235,161.4827
176.677,159.0593
177.118,157.7363
177.560,159.8151
178.002,159.8809
178.443,157.4646
178.885,159.6533
179.327,159.8498
179.769,158.7076
180.210,159.7947
180.652,158.6631
181.094,158.0000
181.535,161.0498
181.977,161.1138
182.419,159.9511
182.860,156.6213
183.302,159.2059
183.744,162.1982
184.185,160.5600
184.627,159.5076
185.069,159.3022
185.511,156.4000
185.952,158.7307
186.394,161.0907
186.836,158.2400
187.277,161.8329
187.719,161.6296
188.161,156.5804
188.602,157.7327
189.044,158.1179
189.486,157.2773
189.927,159.8489
190.369,159.9052
190.811,160.0000
191.253,159.5585
191.694,159.9656
192.136,163.6844
192.578,162.2104
193.019,160.6678
193.461,161.8987
193.903,161.1132
194.344,159.7437
194.786,159.5413
195.228,161.0925
195.669,161.7932
196.111,160.7404
196.553,155.8578
196.995,154.6116
197.436,156.3680
197.878,157.3840
198.320,160.4391
198.761,155.8000
199.203,162.2782
199.645,163.9464
200.086,161.1013
200.528,157.3568
200.970,161.3333
201.411,164.8373
201.853,160.3964
202.295,157.5366
202.737,160.3493
203.178,159.3496
203.620,158.6818
204.062,159.6898
204.503,158.6486
204.945,161.5683
205.387,160.5733
205.828,157.5538
206.270,158.4018
206.712,158.2107
207.153,160.0098
207.595,161.0489
208.037,156.5440
208.479,157.3333
208.920,157.5831
209.362,162.8720
209.804,159.3852
210.245,157.8755
210.687,164.6667
211.129,164.6098
211.570,162.0548
212.012,164.4400
212.454,161.0729
212.895,161.8086
213.337,160.3360
213.779,162.9766
214.221,159.1200
214.662,160.3253
215.104,157.4276
215.546,156.5920
215.987,160.9164
216.429,161.5274
216.871,160.6696
217.312,162.4889
217.754,157.8287
218.196,155.1953
218.637,157.0133
219.079,160.6696
219.521,159.7079
219.963,157.5191
220.404,158.3553
220.846,159.6296
221.288,161.6622
221.729,160.9624
222.171,158.3816
222.613,157.3413
223.054,158.4578
223.496,157.7366
223.938,158.3333
224.379,162.9212
224.821,158.2871
225.263,158.6844
225.705,157.3333
226.146,157.3458
226.588,159.3333
227.030,159.2818
227.471,160.1911
227.913,162.0613
228.355,160.1102
228.796,156.8702
229.238,158.3333
229.680,161.5022
230.121,160.4782
230.563,160.2507
231.005,160.0000
231.447,157.2471
231.888,159.1333
232.330,160.3804
232.772,160.1378
233.213,161.0400
233.655,159.3218
234.097,157.0311
234.538,161.9493
234.980,164.1227
235.422,161.1796
235.863,161.8907
236.305,161.6667
236.747,162.5938
237.188,162.3387
237.630,159.8542
238.072,159.8738
238.514,162.8933
238.955,162.5606
239.397,165.5316
239.839,165.5707
240.280,165.4539
