Distance_(unit),Gray_Value
0.000,158.0000
0.442,159.0913
0.883,161.6015
1.325,162.6276
1.767,164.1304
2.208,164.2281
2.650,162.3129
3.092,161.1369
3.534,161.0000
3.975,162.0987
4.417,160.3911
4.859,160.6453
5.300,159.1938
5.742,157.5197
6.184,160.8213
6.625,164.2933
7.067,159.5010
7.509,157.9955
7.950,160.6480
8.392,163.1147
8.834,162.2311
9.276,159.0773
9.717,160.2365
10.159,161.9156
10.601,161.6187
11.042,161.9852
11.484,162.4972
11.926,162.3333
12.367,162.1191
12.809,164.0996
13.251,161.5067
13.692,160.9395
14.134,162.7484
14.576,158.0000
15.018,160.0089
15.459,163.5956
15.901,162.1600
16.343,155.5745
16.784,160.5810
17.226,159.8249
17.668,160.3763
18.109,159.8738
18.551,163.0116
18.993,160.4015
19.434,162.1472
19.876,163.6667
20.318,162.8326
20.760,161.5147
21.201,161.6933
21.643,161.0836
22.085,161.0000
22.526,162.0133
22.968,163.3559
23.410,160.8853
23.851,162.7787
24.293,160.6667
24.735,163.2536
25.176,162.7004
25.618,161.0044
26.060,161.4098
26.502,160.0133
26.943,160.2403
27.385,162.1295
27.827,162.7147
28.268,162.4110
28.710,162.3111
29.152,161.6667
29.593,161.6667
30.035,160.9964
30.477,161.0160
30.918,161.7022
31.360,161.6116
31.802,161.8507
32.244,163.8116
32.685,161.6394
33.127,164.6222
33.569,164.9724
34.010,163.5173
34.452,162.4747
34.894,161.2756
35.335,161.8548
35.777,164.3387
36.219,163.1953
36.660,162.0000
37.102,161.6427
37.544,162.0000
37.985,162.6364
38.427,161.7316
38.869,161.3876
39.311,162.3816
39.752,164.6533
40.194,165.2151
40.636,163.4658
41.077,162.7013
41.519,161.1716
41.961,158.2830
42.402,160.3333
42.844,164.4364
43.286,162.6110
43.727,163.3973
44.169,164.5778
44.611,159.6916
45.053,161.3280
45.494,165.6335
45.936,160.6554
46.378,161.6489
46.819,163.3333
47.261,163.0308
47.703,160.0747
48.144,158.7982
48.586,160.3837
49.028,157.6747
49.469,158.9040
49.911,163.4080
50.353,162.7493
50.795,163.1644
51.236,157.9351
51.678,157.5707
52.120,160.8975
52.561,161.8910
53.003,160.0755
53.445,159.4744
53.886,159.2622
54.328,161.9369
54.770,161.0329
55.211,160.3333
55.653,160.5227
56.095,160.3004
56.537,160.3271
56.978,159.2427
57.420,161.5822
57.862,161.5431
58.303,158.0773
58.745,157.0717
59.187,157.8394
59.628,158.1067
60.070,158.3476
60.512,159.3333
60.953,156.8996
61.395,157.9668
61.837,159.3882
62.279,159.2009
