Distance_(unit),Gray_Value
0.000,164.3333
0.442,165.3585
0.883,164.3837
1.325,163.4844
1.767,160.2374
2.208,157.5060
2.650,160.0695
3.092,162.1367
3.534,159.4053
3.975,163.7554
4.417,162.9904
4.859,160.6103
5.300,159.8129
5.742,161.6547
6.184,159.2758
6.625,156.4448
7.067,158.5971
7.509,162.7122
7.950,161.3333
8.392,159.4628
8.834,160.8297
9.276,162.7434
9.717,161.2254
10.159,159.3333
10.601,159.7506
11.042,158.5683
11.484,161.6307
11.926,161.9736
12.367,161.2566
12.809,160.8573
13.251,158.9329
13.692,158.5444
14.134,159.9161
14.576,160.8261
15.018,156.3333
15.459,160.2146
15.901,160.2398
16.343,160.4017
16.784,159.3765
17.226,158.3513
17.668,160.9928
18.109,162.3009
18.551,162.9616
18.993,164.4712
19.434,162.0983
19.876,159.7770
20.318,157.9832
20.760,160.0336
21.201,159.9736
21.643,158.5588
22.085,156.9377
22.526,161.1403
22.968,159.4916
23.410,158.5588
23.851,160.3333
24.293,161.1031
24.735,162.1103
25.176,160.4784
25.618,162.2062
26.060,163.0480
26.502,163.3549
26.943,159.0132
27.385,158.8945
27.827,161.5060
28.268,162.1679
28.710,164.6966
29.152,161.0096
29.593,162.6463
30.035,161.0456
30.477,158.3333
30.918,158.6499
31.360,162.8285
31.802,164.3957
32.244,162.9017
32.685,161.7578
33.127,163.6295
33.569,163.1894
34.010,160.2314
34.452,160.3093
34.894,164.3046
35.335,164.2902
35.777,161.4125
36.219,165.4724
36.660,162.6667
37.102,161.5635
37.544,160.6139
37.985,160.6667
38.427,163.4760
38.869,165.6859
39.311,162.8513
39.752,161.8249
40.194,162.1391
40.636,161.0719
41.077,159.2110
41.519,161.0552
41.961,163.2350
42.402,162.3070
42.844,166.1211
43.286,163.3981
43.727,157.8118
44.169,160.6307
44.611,160.1235
45.053,162.6067
45.494,165.3333
45.936,158.4293
46.378,159.1595
46.819,162.3333
47.261,159.6391
47.703,157.6667
48.144,157.4113
48.586,155.6667
49.028,158.2566
49.469,159.5132
49.911,154.7974
50.353,156.5372
50.795,156.5624
51.236,160.2710
51.678,161.4329
52.120,160.1055
52.561,158.6871
53.003,158.4053
53.445,157.4424
53.886,158.6667
54.328,160.3429
54.770,157.5779
55.211,159.0384
55.653,160.0456
56.095,159.0624
56.537,159.9976
56.978,158.6667
57.420,160.3933
57.862,160.3333
58.303,158.6571
58.745,159.0156
59.187,160.0815
59.628,159.5312
60.070,159.8489
60.512,161.2326
60.953,160.5084
61.395,154.1667
61.837,157.1415
62.279,161.8321
62.720,160.0911
63.162,158.4652
63.604,160.3333
64.045,158.0312
64.487,160.6667
64.929,162.5372
65.370,163.0576
65.812,162.9245
66.254,162.2566
66.695,160.0036
67.137,160.8153
67.579,161.4700
68.021,161.7626
68.462,164.8477
68.904,163.2830
69.346,163.5420
69.787,160.6379
70.229,162.6631
70.671,159.6667
71.112,161.7026
71.554,161.7890
71.996,161.6259
