Distance_(pixels),Gray_Value
454,194.9771
455,193.9508
456,198.9508
457,193.0131
458,195.9803
459,191.9902
460,186.1967
461,188.1836
462,195.1180
463,192.0000
464,190.9574
465,191.2951
466,197.0557
467,193.9377
468,193.1377
469,187.4525
470,195.3279
471,196.4689
472,196.7148
473,193.2033
474,196.2164
475,193.6885
476,190.6066
477,194.1279
478,190.4033
479,192.4230
480,199.2951
481,194.8459
482,196.3574
483,195.4984
484,193.0000
485,185.6230
486,191.4295
487,191.8066
488,194.4000
489,185.8590
490,192.9344
491,194.6590
492,196.4525
493,190.9312
494,184.6754
495,195.2623
496,198.7574
497,192.5180
498,194.6721
499,189.2721
500,195.4426
501,194.1410
502,194.6262
503,193.0885
504,194.2197
505,191.9344
506,187.5902
507,193.2984
508,197.0066
509,190.0000
510,192.3770
511,193.0000
512,200.0721
513,187.9115
514,189.5574
515,190.8689
516,194.2197
517,191.3410
518,193.9836
519,191.9836
520,191.5902
521,194.3344
522,197.7311
523,193.5770
524,186.7967
525,190.3279
526,199.5508
527,187.4557
528,194.7738
529,193.9377
530,193.4262
531,191.0000
532,192.5574
533,191.5049
534,196.5049
535,195.0164
536,194.0295
537,192.4787
538,195.0000
539,191.1377
540,192.8361
541,192.5475
542,193.4328
543,194.1213
544,194.7311
545,190.1475
546,193.2229
547,186.1738
548,193.7803
549,190.2000
550,192.7541
551,193.6131
552,192.7180
553,194.5049
554,198.8984
555,188.0000
556,188.1672
557,194.6098
558,190.5672
559,194.6623
560,199.6721
561,191.7148
562,194.3705
563,194.6918
564,194.3016
565,197.1148
566,200.4033
567,192.5639
568,190.3770
569,195.1180
570,193.9508
571,191.5115
572,189.9967
573,192.0000
574,195.2918
575,191.2295
576,191.8918
577,193.1344
578,197.5311
579,191.5934
580,192.0164
581,190.3803
582,192.0000
583,192.6459
584,196.0000
585,190.1639
586,192.5279
587,190.8492
588,189.0000
589,189.9639
590,189.7869
591,188.2492
592,193.2361
593,192.1115
594,193.4197
595,191.8033
596,197.6328
597,193.5738
598,202.2918
599,190.6393
600,203.2131
601,198.4098
602,195.8951
603,192.7246
604,188.0787
605,195.0656
606,198.9475
607,192.9213
608,193.9869
609,195.9869
610,198.0000
611,194.9803
612,199.8820
613,191.0000
614,194.9738
615,195.0656
616,191.1967
617,193.0918
618,197.0000
619,188.7639
620,198.2131
621,194.9279
622,196.7639
623,193.9147
624,198.5410
625,193.9016
626,191.5246
627,194.8885
628,202.0000
629,193.3770
630,190.1311
631,193.4492
632,194.1443
633,195.2459
634,191.1574
635,194.1803
636,196.8295
637,191.1148
638,189.5311
639,187.1902
640,191.9836
641,193.9836
642,196.3213
643,191.7836
644,198.4459
645,192.8525
646,193.5279
647,190.2426
648,192.9967
649,191.5115
650,192.2131
651,190.6557
652,190.4492
653,189.7443
654,189.7115
655,189.8852
656,189.9049
657,189.3836
658,194.1115
659,190.7148
660,197.0164
661,190.3279
662,190.3180
663,190.9574
664,193.9377
665,190.6393
666,186.2656
667,189.8787
668,193.2393
669,186.5180
670,192.4262
671,189.2000
672,194.5279
673,193.5213
674,189.9016
675,190.5902
676,196.2689
677,192.0000
678,196.6623
679,191.5475
680,193.4590
681,190.9312
682,188.4164
683,190.4787
684,196.0295
685,189.5246
686,197.0066
687,190.9902
688,189.4656
689,189.0000
690,193.1967
691,195.6557
692,194.7738
693,188.9115
694,190.2033
695,190.5574
696,194.7443
697,191.8590
698,195.1541
699,195.1672
700,194.7705
701,192.1934
702,193.3803
703,190.1705
704,195.0000
705,195.7541
706,192.4820
707,187.8197
708,193.7148
709,192.1574
710,193.7213
711,192.3508
712,195.3246
713,192.9475
714,193.2262
715,191.9344
716,192.8295
717,189.2984
718,195.0000
719,191.5705
720,191.1639
721,194.7279
722,197.5311
723,188.7410
724,188.0197
725,191.2459
726,195.9574
727,195.2328
728,194.5475
729,192.4393
730,194.2787
731,189.4459
732,195.4000
733,188.9344
734,192.7475
735,192.3607
736,192.3475
737,184.5016
738,184.2852
739,187.3869
740,195.0000
741,191.2820
742,190.5967
743,193.2557
744,193.8492
745,187.8033
746,193.3246
747,191.1016
748,190.1902
749,190.6197
750,189.6557
751,190.0754
752,192.5869
753,195.7508
754,196.1672
755,185.1475
756,193.0000
757,189.1443
758,196.0885
759,196.0459
760,193.0000
761,191.0098
762,195.0131
763,190.0066
764,191.9902
765,190.9836
766,192.9771
767,193.0000
768,191.0721
769,185.2131
770,190.2459
771,191.9443
772,197.6262
773,197.5180
774,196.8492
775,190.0820
776,193.0885
777,189.1902
778,188.0000
779,192.6754
780,198.1148
781,192.7574
782,189.7672
783,190.8066
784,194.8459
785,191.8525
786,193.8459
787,191.3574
788,185.3344
789,187.8689
790,196.5410
791,192.1869
792,197.0328
793,192.2000
794,193.2066
795,184.7049
796,189.1967
797,188.1311
798,191.1639
799,186.3934
800,194.4590
801,184.5148
802,192.7771
803,189.5934
804,192.4492
805,186.3934
806,187.2852
807,189.4164
808,191.0000
809,187.2197
810,192.9344
811,190.3180
812,189.9738
813,186.3180
814,194.0131
815,194.6885
816,198.0525
817,194.4295
818,195.3639
819,196.0000
820,196.3770
821,192.1508
822,195.1705
823,190.3967
824,194.5967
825,193.0000
826,191.4164
827,190.4230
828,192.4361
829,191.6918
830,193.7869
831,187.2033
832,187.0000
833,190.0000
834,196.9377
835,192.4262
836,190.0000
837,186.4426
838,198.4656
839,193.5016
840,197.5246
841,191.1180
842,184.6918
843,192.2229
844,198.0000
845,193.3770
846,196.0951
847,191.4328
848,196.0459
849,192.4033
850,195.7213
851,192.4820
852,198.6951
853,192.9672
854,195.2000
855,194.2131
856,196.8393
857,193.4787
858,191.2525
859,188.2656
860,194.2787
861,192.5836
862,196.3902
863,190.6590
864,195.6557
865,186.7213
866,194.0000
867,188.6852
868,191.8426
869,192.0000
870,191.2951
871,196.6918
872,196.7443
873,186.8984
874,196.9246
875,191.7377
876,192.7443
877,195.2525
878,194.5148
879,191.2918
880,191.0820
881,195.6623
882,195.9180
883,195.1607
884,195.1869
885,192.2131
886,194.2393
887,193.0820
888,194.1148
889,190.8295
890,192.6557
891,192.3148
892,195.3967
893,191.7115
894,197.0361
895,190.1311
896,190.6230
897,195.6459
898,198.6656
899,192.0000
900,194.4098
901,190.8164
902,193.0000
903,188.9213
904,192.7115
905,194.7377
906,192.8230
907,187.8951
908,194.0459
909,191.9607
910,193.0328
911,189.9475
912,194.8623
913,190.9213
914,191.0000
915,192.0000
