Distance_(pixels),Gray_Value
454,195.2969
455,197.6826
456,195.3311
457,195.6416
458,192.2423
459,194.0000
460,190.5802
461,191.1195
462,191.9215
463,200.1843
464,199.2491
465,199.0444
466,191.8567
467,194.3447
468,194.3754
469,196.1980
470,194.9386
471,194.5324
472,198.3277
473,198.5290
474,193.7065
475,196.3174
476,196.2423
477,192.5358
478,188.6826
479,196.9044
480,195.5734
481,194.9249
482,191.3242
483,196.8362
484,191.0444
485,190.9659
486,191.1433
487,192.0819
488,190.0068
489,190.0205
490,190.9829
491,190.8635
492,191.8874
493,197.9522
494,191.9420
495,197.0000
496,188.6280
497,188.4437
498,192.6041
499,198.7986
500,196.8055
501,194.7406
502,186.4198
503,189.0000
504,191.8396
505,193.8293
506,197.0000
507,195.6178
508,190.5973
509,196.4232
510,191.4437
511,191.8396
512,191.0000
513,195.7474
514,191.0000
515,190.2730
516,194.2833
517,196.0000
518,195.6962
519,194.0580
520,194.0000
521,197.6655
522,191.0000
523,189.6451
524,190.1741
525,191.1229
526,189.2287
527,196.1877
528,194.4061
529,192.2491
530,192.4266
531,197.2526
532,193.6587
533,194.4573
534,193.0000
535,194.6109
536,188.5597
537,194.4983
538,197.0000
539,198.9625
540,193.5290
541,193.4608
542,191.9010
543,195.6792
544,189.2901
545,193.3208
546,196.4096
547,192.7986
548,188.5563
549,187.8942
550,192.7372
551,195.3584
552,187.3925
553,187.0137
554,189.3106
555,195.6826
556,190.1570
557,193.1092
558,193.5734
559,191.8293
560,192.0000
561,194.0000
562,193.5085
563,195.7645
564,190.3515
565,190.2901
566,188.0000
567,187.4164
568,189.0000
569,191.3481
570,190.3277
571,191.7679
572,189.7167
573,192.7338
574,190.5085
575,195.8737
576,194.0000
577,187.1058
578,189.3277
579,201.2116
580,193.6928
581,185.3072
582,186.1229
583,194.9693
584,187.1638
585,191.0512
586,189.0000
587,196.9898
588,189.9795
589,194.7850
590,189.2457
591,189.3584
592,190.1843
593,192.2150
594,194.1638
595,195.0921
596,191.1024
597,194.2253
598,190.2457
599,192.1331
600,192.8567
601,190.5392
602,188.4915
603,189.6962
604,191.6314
605,190.4164
606,192.0000
607,198.4949
608,185.4505
609,193.5290
610,191.7543
611,194.2799
612,190.7986
613,196.1707
614,192.4266
615,195.7816
616,190.6928
617,185.2218
618,192.3618
619,193.6621
620,189.0000
621,194.2082
622,188.2116
623,193.0000
624,190.7782
625,188.5973
626,186.0000
627,195.9010
628,188.2901
629,196.0000
630,191.0000
631,187.7645
632,191.8259
633,196.0751
634,194.5427
635,198.0137
636,187.0956
637,192.6553
638,191.5324
639,193.4573
640,194.5529
641,195.0000
642,193.8669
643,197.3345
644,195.5939
645,197.2082
646,191.2287
647,192.1229
648,192.6348
649,192.2253
650,192.5870
651,197.3311
652,191.0273
653,193.6860
654,194.3925
655,196.7065
656,190.8498
657,189.5461
658,194.2628
659,192.4949
660,191.2730
661,199.5358
662,190.1126
663,191.5188
664,193.0000
665,194.6178
666,193.2764
667,190.3413
668,191.3208
669,190.7509
670,194.0000
671,190.6109
672,190.7611
673,196.7816
674,196.8020
675,195.8225
676,192.0000
677,198.8635
678,197.9420
679,195.9522
680,196.7372
681,199.6451
682,192.9659
683,193.0341
684,195.9932
685,198.9044
686,190.8805
687,188.2389
688,196.0887
689,196.0000
690,188.3242
691,188.7509
692,187.5119
693,192.7133
694,193.7884
695,191.1604
696,195.3686
697,195.5461
698,191.4403
699,193.9010
700,192.8293
701,196.4676
702,193.8737
703,194.2184
704,195.0000
705,197.3447
706,194.0853
707,196.0444
708,193.7509
709,194.2594
710,192.1911
711,196.3618
712,190.7099
713,195.7986
714,195.7577
715,198.3208
716,195.3242
717,193.6826
718,189.0000
719,190.7236
720,192.1160
721,193.7645
722,195.1775
723,194.8055
724,192.6519
725,192.1160
726,195.4334
727,198.0000
728,196.2696
729,192.0717
730,194.6792
731,194.6075
732,190.0102
733,196.0102
734,191.0000
735,188.8976
736,192.0000
737,196.3618
738,193.7747
739,193.3003
740,191.4232
741,194.0000
742,192.2082
743,195.3549
744,192.6178
745,194.3720
746,189.7236
747,196.0000
748,191.3174
749,191.6689
750,187.9625
751,196.1741
752,195.3993
753,193.4198
754,192.0000
755,196.2696
756,192.5188
757,192.7474
758,191.9556
759,195.1433
760,189.9659
761,195.3754
762,193.2082
763,189.5631
764,195.5324
765,196.3311
766,196.6860
767,189.4676
768,189.8635
769,195.7474
770,195.7679
771,195.1058
772,190.1911
773,191.9147
774,191.9249
775,197.0000
776,194.0546
777,192.0000
778,186.1024
779,187.1672
780,188.0956
781,196.0068
782,196.9795
783,196.9488
784,195.8908
785,192.1877
786,188.5734
787,192.4061
788,189.1365
789,196.1570
790,187.3549
791,189.5939
792,188.7816
793,193.7611
794,192.8703
795,195.4198
796,196.1502
797,194.6792
798,188.1707
799,188.9898
800,189.5290
801,193.2014
802,189.0000
803,193.8874
804,193.3925
805,190.9693
806,190.0000
807,197.2116
808,189.2730
809,192.8498
810,188.4676
811,189.5188
812,191.9420
813,193.6758
814,187.6689
815,189.4130
816,188.1297
817,191.6348
818,190.0000
819,183.6997
820,186.1672
821,192.0307
822,192.2491
823,194.0000
824,189.4369
825,192.7884
826,189.0853
827,191.5973
828,193.5222
829,190.4881
830,188.9829
831,192.0171
832,187.4812
833,191.0000
834,194.5392
835,195.0990
836,189.4403
837,193.0000
838,192.1604
839,195.7713
840,193.3993
841,188.6655
842,190.1058
843,195.2628
844,191.6416
845,192.0000
846,190.9727
847,198.3788
848,184.9044
849,187.8498
850,189.0000
851,190.5802
852,193.2116
853,188.2014
854,187.2321
855,197.0341
856,195.0000
857,195.3242
858,188.5700
859,194.3857
860,193.0273
861,193.2628
862,189.9556
863,200.6894
864,197.6962
865,199.7099
866,194.6007
867,190.3686
868,188.6758
869,192.1024
870,190.3549
871,198.2628
872,193.8567
873,202.6314
874,198.7440
875,194.9181
876,193.0307
877,196.0205
878,192.9898
879,194.0000
